,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
19,The Clintons ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971099,00.html",Bill Clinton,42nd U.S. President,"Born: August 19, 1946 (age 74 years), Hope, AR","William Jefferson Clinton is an American politician and attorney who served as the 42nd president of the United States from 1993 to 2001. Prior to his presidency, he served as governor of Arkansas and as attorney general of Arkansas. ","Hope, AR","August 19, 1946",74,his
20,Lee Scott ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971380,00.html","H. Lee Scott, Jr.",American businessman,"Born: March 14, 1949 (age 71 years), Baxter Springs, KS","Harold Lee Scott Jr. is an American businessman who served as the third chief executive officer of Wal-Mart Stores, Inc., from January 2000 to January 2009. ","Baxter Springs, KS","March 14, 1949",71,
21,Carly Fiorina ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971387,00.html",Carly Fiorina,American businesswoman,"Born: September 6, 1954 (age 66 years), Austin, TX","Cara Carleton ""Carly"" Fiorina formerly Sneed; born September 6, 1954 is an American businesswoman and political figure, known primarily for her tenure as CEO of Hewlett-Packard. As chief executive officer of HP from 1999 to 2005, Fiorina was the first woman to lead a Top-20 company as ranked by Fortune Magazine. ","Austin, TX","September 6, 1954",66,her
22,Abigail Johnson ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971390,00.html",Abigail Johnson,Chief Executive Officer of Fidelity Investments,"Born: December 19, 1961 (age 58 years), Boston, MA","Abigail Pierrepont Johnson is an American billionaire businesswoman. Since 2014, Johnson has been president and chief executive officer of American investment firm Fidelity Investments, and chairman of its international sister company Fidelity International. ","Boston, MA","December 19, 1961",58,
23,David Neeleman ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971471,00.html",David Neeleman,Entrepreneur,"Born: October 16, 1959 (age 61 years), São Paulo, State of São Paulo, Brazil","David G. Neeleman is a Brazilian-American entrepreneur who has founded five commercial airlines, Morris Air, WestJet, JetBlue Airways, Azul Brazilian Airlines, and Breeze Airways. Along with Humberto Pedrosa and Aigle Azur he owns 45% of another commercial airline in Europe, TAP Air Portugal. ","São Paulo, State of São Paulo, Brazil","October 16, 1959",61,he
24,Rupert Murdoch ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971476,00.html",Rupert Murdoch,American media mogul,"Born: March 11, 1931 (age 89 years), Melbourne, Australia","Keith Rupert Murdoch AC KCSG is an Australian-born American media mogul. Through his company News Corp, he is the owner of hundreds of local, national, and international publishing outlets around the ... ","Melbourne, Australia","March 11, 1931",89,his
25,Lindsay Owen-Jones ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971480,00.html",Lindsay Owen-Jones,Business person,"Born: March 17, 1946 (age 74 years), Wallasey, United Kingdom","Sir Lindsay Owen-Jones, KBE, born in Wallasey, Cheshire to a Welsh family, was the Chairman and CEO of the cosmetics and beauty company L'Oréal from 1988 to 2011. In May 2019, he was ranked as the 292nd richest person in UK by The Sunday Times Rich List with a net worth of £467 million. ","Wallasey, United Kingdom","March 17, 1946",74,he
26,Howard Schultz ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971488,00.html",Howard Schultz,American businessman,"Born: July 19, 1953 (age 67 years), Brooklyn, New York, NY","Howard D. Schultz is an American businessman. He served as the chairman and chief executive officer of the Starbucks Coffee Company from 1986 to 2000, and then again from 2008 to 2017. Schultz also owned the Seattle SuperSonics basketball team from 2001 to 2006. ","Brooklyn, New York, NY","July 19, 1953",67,He
27,Azim Premji ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971497,00.html",Azim Premji,Indian business tycoon,"Born: July 24, 1945 (age 75 years), Mumbai, India","Azim Hashim Premji is an Indian business tycoon, investor, engineer, and philanthropist, who was the chairman of Wipro Limited. Premji remains a non-executive member of the board and founder chairman. He is informally known as the Czar of the Indian IT Industry. ","Mumbai, India","July 24, 1945",75,He
28,Warren Buffett ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971501,00.html",Warren Buffett,CEO of Berkshire Hathaway,"Born: August 30, 1930 (age 90 years), Omaha, NE","Warren Edward Buffett is an American investor, business tycoon, philanthropist, and the chairman and CEO of Berkshire Hathaway. He is considered one of the most successful investors in the world and has a net worth of over US$78.9 billion as of August 2020, making him the world's fourth-wealthiest person. ","Omaha, NE","August 30, 1930",90,He
29,Michael Dell ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971510,00.html",Michael S. Dell,CEO of Dell Technologies,"Born: February 23, 1965 (age 55 years), Houston, TX","Michael Saul Dell is an American billionaire businessman and philanthropist. He is the founder, chairman and CEO of Dell Technologies, one of the world's largest technology infrastructure companies. He is ranked 27th richest in the world by Forbes, with a net worth of $27.2 billion as of April 2020. ","Houston, TX","February 23, 1965",55,He
30,Al-Jazeera ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971511,00.html",Al Jazeera English,TV network,Null,"Al Jazeera English is a Qatari state-owned news channel owned by the Al Jazeera Media Network, headquartered in Doha, Qatar. It is the first English-language news channel to be headquartered in the Middle East. Instead of being run centrally, news management rotates between broadcasting centers in Doha and London. ",,,,
31,Lord John Browne ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971512,00.html","John Browne, Baron Browne of Madingley",Businessman,"Born: February 20, 1948 (age 72 years), Hamburg, Germany","Edmund John Philip Browne, Baron Browne of Madingley, FRS, FREng, FGS is a British businessman. He is best known for his role as the chief executive of the energy company BP between 1995 and 2007. This period has been described as the company's ""golden period of expansion and diversification"". ","Hamburg, Germany","February 20, 1948",72,He
32,Hiroshi Okuda / Fujio Cho ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971520,00.html",Null,Null,Null,Null,,,,
33,Sergei Brin / Larry Page ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971526,00.html",See results about,Null,Null,Null,,,,
34,Bernard Arnault ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971527,00.html",Bernard Arnault,Chief Executive of LVMH,"Born: March 5, 1949 (age 71 years), Roubaix, France","Bernard Jean Étienne Arnault is a French billionaire businessman and art collector. He is the chairman and chief executive of LVMH Moët Hennessy – Louis Vuitton SE, the world's largest luxury-goods company. In April 2018, he became the richest person in fashion, topping Zara's Amancio Ortega. ","Roubaix, France","March 5, 1949",71,He
35,Sepp Blatter ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971530,00.html",Sepp Blatter,Null,"Born: March 10, 1936 (age 84 years), Visp, Switzerland","Joseph ""Sepp"" Blatter is a retired Swiss football administrator who was the eighth President of the FIFA from 1998 to 2015. He is currently serving a six-year ban from participating in FIFA activities. ","Visp, Switzerland","March 10, 1936",84,He
36,Belinda Stronach ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971545,00.html",Belinda Stronach,Former Canadian Member of Parliament,"Born: May 2, 1966 (age 54 years), Newmarket, Canada","Belinda Caroline Stronach, PC is a Canadian businesswoman, philanthropist and former Member of Parliament in the House of Commons of Canada from 2004 to 2008. Originally elected as a Conservative, she later crossed the floor to join the Liberals. ","Newmarket, Canada","May 2, 1966",54,she
37,Meg Whitman ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971556,00.html",Meg Whitman,American executive,"Born: August 4, 1956 (age 64 years), Cold Spring Harbor, NY","Margaret Cushing Whitman is an American business executive, former political candidate, and philanthropist. She is a board member of Procter & Gamble and Dropbox. Whitman was previously president and CEO of Hewlett Packard Enterprise. She was also the CEO of Quibi before its closure in October 2020. ","Cold Spring Harbor, NY","August 4, 1956",64,She
38,Daniel Vasella ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971563,00.html",Daniel Vasella,Swiss medical doctor,"Born: August 15, 1953 (age 67 years), Fribourg, Switzerland","Daniel Lucius Vasella is a Swiss medical doctor, author, and executive who served as CEO and chairman of the Swiss pharmaceutical company Novartis AG, the world's fifth largest drug company. During his tenure Novartis shares fell 10%, compared to the industry average. ","Fribourg, Switzerland","August 15, 1953",67,his
39,Steve Jobs ,TITANS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971572,00.html",Steve Jobs,American business magnate,"Born: February 24, 1955, San Francisco, CA","Steven Paul Jobs was an American business magnate, industrial designer, investor, and media proprietor. ",,"February 24, 1955, San Francisco,",,
40,Mark Burnett ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971145,00.html",Mark Burnett,Television producer,"Born: July 17, 1960 (age 60 years), London, United Kingdom",Mark Burnett is a British television producer who is the current Chairman of MGM Worldwide Television Group. He is best known for creating and producing the reality show The Apprentice and producing Survivor. Burnett-produced TV series have been nominated for a total of 143 Emmys. ,"London, United Kingdom","July 17, 1960",60,He
41,Frank Gehry ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971149,00.html",Frank Gehry,American-Canadian architect,"Born: February 28, 1929 (age 91 years), Toronto, Canada","Frank Owen Gehry, CC, FAIA is a Canadian-born American architect, residing in Los Angeles. A number of his buildings, including his private residence, have become world-renowned attractions. ","Toronto, Canada","February 28, 1929",91,his
42,John Galliano ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971152,00.html",John Galliano,Fashion designer,"Born: November 28, 1960 (age 60 years), Gibraltar","John Charles Galliano CBE, RDI is a Gibraltar-born British fashion designer who was the head designer of French fashion companies Givenchy, Christian Dior, and his own label John Galliano. At present, Galliano is the creative director of Paris-based fashion house Maison Margiela. ",Gibraltar,"November 28, 1960",60,his
43,Peter Jackson ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971159,00.html",Peter Jackson,New Zealand film director,"Born: October 31, 1961 (age 59 years), Pukerua Bay, Porirua, New Zealand","Sir Peter Robert Jackson ONZ KNZM is a New Zealand film director, producer, and screenwriter. He is best known as the director, writer, and producer of the Lord of the Rings trilogy and the Hobbit trilogy, both of which are adapted from the novels of the same name by J. R. R. Tolkien. ","Pukerua Bay, Porirua, New Zealand","October 31, 1961",59,He
44,Nicholas Hytner ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971162,00.html",Nicholas Hytner,Theatre director,"Born: May 7, 1956 (age 64 years), Didsbury, Manchester, United Kingdom","Sir Nicholas Robert Hytner is an English theatre director, film director, and film producer. He was previously the Artistic Director of London's National Theatre. His major successes as director include Miss Saigon, The History Boys and One Man, Two Guvnors. ","Didsbury, Manchester, United Kingdom","May 7, 1956",64,He
45,Simon Cowell ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971166,00.html",Simon Cowell,Television personality,"Born: October 7, 1959 (age 61 years), Lambeth, London, United Kingdom","Simon Phillip Cowell is an English television personality, entrepreneur, entertainment manager, and record executive. ","Lambeth, London, United Kingdom","October 7, 1959",61,
46,OutKast ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971171,00.html",OutKast,Hip hop duo,"Origin: East Point, GA (1991)","Outkast was an American hip hop duo formed in 1992 in East Point, Georgia, consisting of Atlanta-based rappers André ""3000"" Benjamin and Antwan ""Big Boi"" Patton. ",,,,
47,Norah Jones ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971193,00.html",Norah Jones,American singer-songwriter,"Born: March 30, 1979 (age 41 years), Manhattan, New York, NY","Norah Jones is an American singer, songwriter and pianist. She has won multiple awards and has sold more than 50 million records worldwide. Billboard named her the top jazz artist of the 2000s decade. She has won nine Grammy Awards and was ranked 60th on Billboard magazine's artists of the 2000s decade chart. ","Manhattan, New York, NY","March 30, 1979",41,She
48,Jerry Bruckheimer ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971203,00.html",Jerry Bruckheimer,American film producer,"Born: September 21, 1943 (age 77 years), Detroit, MI","Jerome Leon Bruckheimer is an American film and television producer. He has been active in the genres of action, drama, fantasy, and science fiction. ","Detroit, MI","September 21, 1943",77,He
49,J.K. Rowling ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971213,00.html",J. K. Rowling,British author,"Born: July 31, 1965 (age 55 years), Yate, United Kingdom","Joanne Rowling CH, OBE, HonFRSE, FRCPE, FRSL, better known by her pen name J. K. Rowling, is a British author, philanthropist, film producer, television producer and screenwriter. ","Yate, United Kingdom","July 31, 1965",55,her
50,Ken Kutaragi ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971347,00.html",Ken Kutaragi,Japanese engineering technologist,"Born: August 2, 1950 (age 70 years), Tokyo, Japan","Ken Kutaragi is a Japanese engineering technologist and businessman. He is the former chairman and CEO of Sony Computer Entertainment, the video game division of Sony Corporation, and current president and CEO of Cyber AI Entertainment. ","Tokyo, Japan","August 2, 1950",70,He
51,Bruce Nauman ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971348,00.html",Bruce Nauman,American artist,"Born: December 6, 1941 (age 79 years), Fort Wayne, IN","Bruce Nauman is an American artist. His practice spans a broad range of media including sculpture, photography, neon, video, drawing, printmaking, and performance. Nauman lives near Galisteo, New Mexico. ","Fort Wayne, IN","December 6, 1941",79,His
52,Katie Couric ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971349,00.html",Katie Couric,American television journalist,"Born: January 7, 1957 (age 63 years), Arlington County, VA","Katherine Anne Couric is an American television and online journalist, presenter, producer, and author. She is founder of Katie Couric Media, a multimedia news and production company. She also publishes a daily newsletter, Wake Up Call. From 2013 to 2017, she was Yahoo's Global News Anchor. ","Arlington County, VA","January 7, 1957",63,She
53,Charlie Kaufman ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971351,00.html",Charlie Kaufman,American screenwriter,"Born: November 19, 1958 (age 62 years), New York, NY","Charles Stuart Kaufman is an American screenwriter, producer, director and novelist. He wrote the films Being John Malkovich, Adaptation, and Eternal Sunshine of the Spotless Mind. He made his directorial debut with Synecdoche, New York, which film critic Roger Ebert called ""the best movie of the decade"" in 2009. ","New York, NY","November 19, 1958",62,He
54,Hideo Nakata ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971352,00.html",Hideo Nakata,Film director,"Born: July 19, 1961 (age 59 years), Konkō, Okayama",Null,"Konkō, Okayama","July 19, 1961",59,
55,Aishwarya Rai ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971356,00.html",Aishwarya Rai Bachchan,Indian actress,"Born: November 1, 1973 (age 47 years), Mangalore, India","Aishwarya Rai Bachchan is an Indian actress and the winner of the Miss World 1994 pageant. Through her successful acting career, she has established herself as one of the most popular and influential celebrities in India. ","Mangalore, India","November 1, 1973",47,her
56,Ferran Adrià ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971358,00.html",Ferran Adrià,Spanish chef,"Born: May 14, 1962 (age 58 years), L'Hospitalet de Llobregat, Spain","Ferran Adrià i Acosta is a Spanish chef. He was the head chef of the elBulli restaurant in Roses on the Costa Brava and is considered one of the best chefs in the world. He has often collaborated with his brother, the renowned pastry chef Albert Adrià. ","L'Hospitalet de Llobregat, Spain","May 14, 1962",58,He
57,Nicole Kidman ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971362,00.html",Nicole Kidman,American-Australian actress,"Born: June 20, 1967 (age 53 years), Honolulu, HI","Nicole Mary Kidman AC is an Australian-American actress, singer, and producer. She has received an Academy Award, two Primetime Emmy Awards, and five Golden Globe Awards. She was ranked among the world's highest-paid actresses in 2006, 2018 and 2019. ","Honolulu, HI","June 20, 1967",53,She
58,Sean Penn ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971366,00.html",Sean Penn,American actor,"Born: August 17, 1960 (age 60 years), Santa Monica, CA","Sean Justin Penn is an American actor, director, screenwriter, and producer. He has won two Academy Awards, for his roles in the mystery drama Mystic River and the biopic Milk. ","Santa Monica, CA","August 17, 1960",60,He
59,Guy Laliberté ,ARTISTS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971370,00.html",Guy Laliberté,Canadian businessman,"Born: September 2, 1959 (age 61 years), Quebec City, Canada","Guy Laliberté, OC CQ is a Canadian billionaire businessman, and poker player. Along with Gilles Ste-Croix, he is the co-founder of Cirque du Soleil. In January 2018, Laliberté was ranked by Forbes as the 11th wealthiest Canadian. ","Quebec City, Canada","September 2, 1959",61,he
60,Nelson Mandela ,ICONS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971727,00.html",Nelson Mandela,Former President of South Africa,"Born: July 18, 1918, Mvezo, South Africa","Nelson Rolihlahla Mandela was a South African anti-apartheid revolutionary, political leader and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. ",,"July 18, 1918, Mvezo, South",,He
61,Aung San Suu Kyi ,ICONS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971756,00.html",Aung San Suu Kyi,State Counsellor of Myanmar,"Born: June 19, 1945 (age 75 years), Yangon, Myanmar (Burma)","Aung San Suu Kyi is a Burmese politician, diplomat, author, and a 1991 Nobel Peace Prize laureate. The first and incumbent State Counsellor of Myanmar, she is also the leader of the National League for Democracy and played a vital role in the state's transition from military junta to partial democracy. ","Yangon, Myanmar (Burma)","June 19, 1945",75,she
62,Queen Rania of Jordan ,ICONS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971983,00.html",Queen Rania of Jordan,Queen Consort of Jordan,"Born: August 31, 1970 (age 50 years), Kuwait City, Kuwait","Rania Al-Abdullah is the queen consort of Jordan. Her parents are from the city of Tulkarm in the West Bank, and she was born in Kuwait. She received her bachelor’s degree in business at the American University in Cairo. ","Kuwait City, Kuwait","August 31, 1970",50,Her
63,Shirin Ebadi ,ICONS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971990,00.html",Shirin Ebadi,Iranian lawyer,"Born: June 21, 1947 (age 73 years), Hamedan, Iran","Shirin Ebadi is an Iranian political activist, lawyer, a former judge and human rights activist and founder of Defenders of Human Rights Center in Iran. ","Hamedan, Iran","June 21, 1947",73,
64,Bono ,ICONS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971993,00.html",Bono,Irish singer-songwriter,"Born: May 10, 1960 (age 60 years), Rotunda Hospital, Dublin, Ireland","Paul David Hewson KBE OL, known by his stage name Bono, is an Irish singer, songwriter, philanthropist, activist, venture capitalist, businessman, and actor. He is best known as the lead vocalist and primary lyricist of rock band U2. ","Rotunda Hospital, Dublin, Ireland","May 10, 1960",60,his
