,Name,Category,Year,Profession,Place,Gender,Birthdate,Age,Description,Link,Country
10,Kim Jong Il ,LEADERS,2004,Former Supreme Leader of North Korea,"Seoul, South Korea",Male,1941-02-16,0,"Kim Jong-il or Kim Jong Il was a North Korean politician who served as the second Supreme Leader of North Korea from 1994 to 2011. He led North Korea from the 1994 death of his father Kim Il-sung, the first Supreme Leader until his own death in 2011, when he was succeeded by his son, Kim Jong-un. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971067,00.html",South Korea
11,Bill Gates ,LEADERS,2004,American business magnate,"Seattle, WA",Male,1955-10-28,65,"William Henry Gates III is an American business magnate, software developer, and philanthropist. He is best known as the co-founder of Microsoft Corporation. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971068,00.html",USA
12,Pope John Paul II ,LEADERS,2004,Sovereign of the State of the Vatican City,"Vatican City, Italy",Male,1920-05-18,0,"Pope Saint John Paul II was the head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005. He was elected pope by the second papal conclave of 1978, which was called after Pope John Paul I, who had been elected in August to succeed Pope Paul VI, died after 33 days. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971076,00.html",Italy
13,Atal Bihari Vajpayee ,LEADERS,2004,Former Prime Minister of India,"Gwalior, India",Male,1924-12-25,0,"Atal Bihari Vajpayee was an Indian statesman who served three terms as the Prime Minister of India, first for a term of 13 days in 1996, then for a period of 13 months from 1998 to 1999, followed by a full term from 1999 to 2004. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971081,00.html",India
14,John Kerry ,LEADERS,2004,Former United States Secretary of State,"Aurora, CO",Male,1943-12-11,76,"John Forbes Kerry is an American politician and diplomat who served as the 68th United States Secretary of State from 2013 to 2017. An attorney and former naval officer, Kerry first drew public attention as a decorated Vietnam veteran turned anti-war activist. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971083,00.html",USA
15,Luisa Diogo ,LEADERS,2004,Prime Minister of Mozambique,"Mague, Mozambique",Female,1958-04-11,62,"Luísa Dias Diogo was Prime Minister of Mozambique from February 2004 to January 2010. She replaced Pascoal Mocumbi, who had been Prime Minister for the previous nine years. Before becoming Prime Minister, she was Minister of Planning and Finance, and she continued to hold that post until February 2005. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971086,00.html",Mozambique
16,Vladmir Putin ,LEADERS,2004,President of Russia,"Saint Petersburg, Russia",Male,1952-10-07,68,"Vladimir Vladimirovich Putin is a Russian politician and a former officer of the KGB who has served as President of Russia since 2012, previously holding the position from 1999 until 2008. Putin was born in Leningrad and studied law at Leningrad State University, graduating in 1975. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971088,00.html",Russia
17,Wu Yi ,LEADERS,2004,Former Vice Premier of the State Council of the People's Republic of China,"Wuhan, China",Female,1938-11-17,82,"Wu Yi is a retired Chinese politician. She was one of the country's most visible leaders during the first decade of the 21st century, best known for taking on the role of Minister of Health from April ... ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971095,00.html",China
18,Osama bin Laden ,LEADERS,2004,Terrorist,"Riyadh, Saudi Arabia",Male,1957-03-10,0,"Osama bin Mohammed bin Awad bin Laden, also rendered Usama bin Ladin, was a founder of the pan-Islamic militant organization al-Qaeda, designated as a terrorist group by the United Nations Security Council, the North Atlantic Treaty Organization, the European Union, and various countries. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971096,00.html",Saudi Arabia
19,The Clintons ,LEADERS,2004,42nd U.S. President,"Hope, AR",Male,1946-08-19,74,"William Jefferson Clinton is an American politician and attorney who served as the 42nd president of the United States from 1993 to 2001. Prior to his presidency, he served as governor of Arkansas and as attorney general of Arkansas. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971099,00.html",USA
20,Lee Scott ,TITANS,2004,American businessman,"Baxter Springs, KS",Male,1949-03-14,71,"Harold Lee Scott Jr. is an American businessman who served as the third chief executive officer of Wal-Mart Stores, Inc., from January 2000 to January 2009. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971380,00.html",USA
21,Carly Fiorina ,TITANS,2004,American businesswoman,"Austin, TX",Female,1954-09-06,66,"Cara Carleton ""Carly"" Fiorina formerly Sneed; born September 6, 1954 is an American businesswoman and political figure, known primarily for her tenure as CEO of Hewlett-Packard. As chief executive officer of HP from 1999 to 2005, Fiorina was the first woman to lead a Top-20 company as ranked by Fortune Magazine. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971387,00.html",USA
22,Abigail Johnson ,TITANS,2004,Chief Executive Officer of Fidelity Investments,"Boston, MA",Female,1961-12-19,58,"Abigail Pierrepont Johnson is an American billionaire businesswoman. Since 2014, Johnson has been president and chief executive officer of American investment firm Fidelity Investments, and chairman of its international sister company Fidelity International. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971390,00.html",USA
23,David Neeleman ,TITANS,2004,Entrepreneur,"São Paulo, Brazil",Male,1959-10-16,61,"David G. Neeleman is a Brazilian-American entrepreneur who has founded five commercial airlines, Morris Air, WestJet, JetBlue Airways, Azul Brazilian Airlines, and Breeze Airways. Along with Humberto Pedrosa and Aigle Azur he owns 45% of another commercial airline in Europe, TAP Air Portugal. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971471,00.html",Brazil
24,Rupert Murdoch ,TITANS,2004,American media mogul,"Melbourne, Australia",Male,1931-03-11,89,"Keith Rupert Murdoch AC KCSG is an Australian-born American media mogul. Through his company News Corp, he is the owner of hundreds of local, national, and international publishing outlets around the ... ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971476,00.html",Australia
25,Lindsay Owen-Jones ,TITANS,2004,Business person,"Wallasey, United Kingdom",Male,1946-03-17,74,"Sir Lindsay Owen-Jones, KBE, born in Wallasey, Cheshire to a Welsh family, was the Chairman and CEO of the cosmetics and beauty company L'Oréal from 1988 to 2011. In May 2019, he was ranked as the 292nd richest person in UK by The Sunday Times Rich List with a net worth of £467 million. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971480,00.html",United Kingdom
26,Howard Schultz ,TITANS,2004,American businessman,"Brooklyn, New York, NY",Male,1953-07-19,67,"Howard D. Schultz is an American businessman. He served as the chairman and chief executive officer of the Starbucks Coffee Company from 1986 to 2000, and then again from 2008 to 2017. Schultz also owned the Seattle SuperSonics basketball team from 2001 to 2006. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971488,00.html",USA
27,Azim Premji ,TITANS,2004,Indian business tycoon,"Mumbai, India",Male,1945-07-24,75,"Azim Hashim Premji is an Indian business tycoon, investor, engineer, and philanthropist, who was the chairman of Wipro Limited. Premji remains a non-executive member of the board and founder chairman. He is informally known as the Czar of the Indian IT Industry. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971497,00.html",India
28,Warren Buffett ,TITANS,2004,CEO of Berkshire Hathaway,"Omaha, NE",Male,1930-08-30,90,"Warren Edward Buffett is an American investor, business tycoon, philanthropist, and the chairman and CEO of Berkshire Hathaway. He is considered one of the most successful investors in the world and has a net worth of over US$78.9 billion as of August 2020, making him the world's fourth-wealthiest person. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971501,00.html",USA
29,Michael Dell ,TITANS,2004,CEO of Dell Technologies,"Houston, TX",Male,1965-02-23,55,"Michael Saul Dell is an American billionaire businessman and philanthropist. He is the founder, chairman and CEO of Dell Technologies, one of the world's largest technology infrastructure companies. He is ranked 27th richest in the world by Forbes, with a net worth of $27.2 billion as of April 2020. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971510,00.html",USA
30,Al-Jazeera ,TITANS,2004,TV network,"Doha, Qatar",Unknown,,0,"Al Jazeera English is a Qatari state-owned news channel owned by the Al Jazeera Media Network, headquartered in Doha, Qatar. It is the first English-language news channel to be headquartered in the Middle East. Instead of being run centrally, news management rotates between broadcasting centers in Doha and London. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971511,00.html",Qatar
31,Lord John Browne ,TITANS,2004,Businessman,"Hamburg, Germany",Male,1948-02-20,72,"Edmund John Philip Browne, Baron Browne of Madingley, FRS, FREng, FGS is a British businessman. He is best known for his role as the chief executive of the energy company BP between 1995 and 2007. This period has been described as the company's ""golden period of expansion and diversification"". ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971512,00.html",Germany
32,Hiroshi Okuda / Fujio Cho ,TITANS,2004,Null,,Unknown,,0,Null,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971520,00.html",Null
33,Sergei Brin / Larry Page ,TITANS,2004,American computer scientist,"Lansing, MI",Male,1973-03-26,47,Null,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971526,00.html",USA
34,Bernard Arnault ,TITANS,2004,Chief Executive of LVMH,"Roubaix, France",Male,1949-03-05,71,"Bernard Jean Étienne Arnault is a French billionaire businessman and art collector. He is the chairman and chief executive of LVMH Moët Hennessy – Louis Vuitton SE, the world's largest luxury-goods company. In April 2018, he became the richest person in fashion, topping Zara's Amancio Ortega. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971527,00.html",France
35,Sepp Blatter ,TITANS,2004,Former FIFA President,"Visp, Switzerland",Male,1936-03-10,84,"Joseph ""Sepp"" Blatter is a retired Swiss football administrator who was the eighth President of the FIFA from 1998 to 2015. He is currently serving a six-year ban from participating in FIFA activities. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971530,00.html",Switzerland
36,Belinda Stronach ,TITANS,2004,Former Canadian Member of Parliament,"Newmarket, Canada",Female,1966-05-02,54,"Belinda Caroline Stronach, PC is a Canadian businesswoman, philanthropist and former Member of Parliament in the House of Commons of Canada from 2004 to 2008. Originally elected as a Conservative, she later crossed the floor to join the Liberals. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971545,00.html",Canada
37,Meg Whitman ,TITANS,2004,American executive,"Cold Spring Harbor, NY",Female,1956-08-04,64,"Margaret Cushing Whitman is an American business executive, former political candidate, and philanthropist. She is a board member of Procter & Gamble and Dropbox. Whitman was previously president and CEO of Hewlett Packard Enterprise. She was also the CEO of Quibi before its closure in October 2020. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971556,00.html",USA
38,Daniel Vasella ,TITANS,2004,Swiss medical doctor,"Fribourg, Switzerland",Male,1953-08-15,67,"Daniel Lucius Vasella is a Swiss medical doctor, author, and executive who served as CEO and chairman of the Swiss pharmaceutical company Novartis AG, the world's fifth largest drug company. During his tenure Novartis shares fell 10%, compared to the industry average. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971563,00.html",Switzerland
39,Steve Jobs ,TITANS,2004,American business magnate,"San Francisco, CA",Male,1955-02-24,0,"Steven Paul Jobs was an American business magnate, industrial designer, investor, and media proprietor. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970908_1971572,00.html",USA
40,Mark Burnett ,ARTISTS,2004,Television producer,"London, United Kingdom",Male,1960-07-17,60,Mark Burnett is a British television producer who is the current Chairman of MGM Worldwide Television Group. He is best known for creating and producing the reality show The Apprentice and producing Survivor. Burnett-produced TV series have been nominated for a total of 143 Emmys. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971145,00.html",United Kingdom
41,Frank Gehry ,ARTISTS,2004,American-Canadian architect,"Toronto, Canada",Male,1929-02-28,91,"Frank Owen Gehry, CC, FAIA is a Canadian-born American architect, residing in Los Angeles. A number of his buildings, including his private residence, have become world-renowned attractions. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971149,00.html",Canada
42,John Galliano ,ARTISTS,2004,Fashion designer,Gibraltar,Male,1960-11-28,60,"John Charles Galliano CBE, RDI is a Gibraltar-born British fashion designer who was the head designer of French fashion companies Givenchy, Christian Dior, and his own label John Galliano. At present, Galliano is the creative director of Paris-based fashion house Maison Margiela. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971152,00.html",Null
43,Peter Jackson ,ARTISTS,2004,New Zealand film director,"Pukerua Bay, Porirua, New Zealand",Male,1961-10-31,59,"Sir Peter Robert Jackson ONZ KNZM is a New Zealand film director, producer, and screenwriter. He is best known as the director, writer, and producer of the Lord of the Rings trilogy and the Hobbit trilogy, both of which are adapted from the novels of the same name by J. R. R. Tolkien. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971159,00.html",New Zealand
44,Nicholas Hytner ,ARTISTS,2004,Theatre director,"Didsbury, Manchester, United Kingdom",Male,1956-05-07,64,"Sir Nicholas Robert Hytner is an English theatre director, film director, and film producer. He was previously the Artistic Director of London's National Theatre. His major successes as director include Miss Saigon, The History Boys and One Man, Two Guvnors. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971162,00.html",United Kingdom
45,Simon Cowell ,ARTISTS,2004,Television personality,"Lambeth, London, United Kingdom",Male,1959-10-07,61,"Simon Phillip Cowell is an English television personality, entrepreneur, entertainment manager, and record executive. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971166,00.html",United Kingdom
46,OutKast ,ARTISTS,2004,Hip hop duo,"East Point, GA",Male,1991-01-01,0,"Outkast was an American hip hop duo formed in 1992 in East Point, Georgia, consisting of Atlanta-based rappers André ""3000"" Benjamin and Antwan ""Big Boi"" Patton. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971171,00.html",USA
47,Norah Jones ,ARTISTS,2004,American singer-songwriter,"Manhattan, New York, NY",Female,1979-03-30,41,"Norah Jones is an American singer, songwriter and pianist. She has won multiple awards and has sold more than 50 million records worldwide. Billboard named her the top jazz artist of the 2000s decade. She has won nine Grammy Awards and was ranked 60th on Billboard magazine's artists of the 2000s decade chart. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971193,00.html",USA
48,Jerry Bruckheimer ,ARTISTS,2004,American film producer,"Detroit, MI",Male,1943-09-21,77,"Jerome Leon Bruckheimer is an American film and television producer. He has been active in the genres of action, drama, fantasy, and science fiction. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971203,00.html",USA
49,J.K. Rowling ,ARTISTS,2004,British author,"Yate, United Kingdom",Female,1965-07-31,55,"Joanne Rowling CH, OBE, HonFRSE, FRCPE, FRSL, better known by her pen name J. K. Rowling, is a British author, philanthropist, film producer, television producer and screenwriter. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971213,00.html",United Kingdom
50,Ken Kutaragi ,ARTISTS,2004,Japanese engineering technologist,"Tokyo, Japan",Male,1950-08-02,70,"Ken Kutaragi is a Japanese engineering technologist and businessman. He is the former chairman and CEO of Sony Computer Entertainment, the video game division of Sony Corporation, and current president and CEO of Cyber AI Entertainment. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971347,00.html",Japan
51,Bruce Nauman ,ARTISTS,2004,American artist,"Fort Wayne, IN",Male,1941-12-06,79,"Bruce Nauman is an American artist. His practice spans a broad range of media including sculpture, photography, neon, video, drawing, printmaking, and performance. Nauman lives near Galisteo, New Mexico. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971348,00.html",USA
52,Katie Couric ,ARTISTS,2004,American television journalist,"Arlington County, VA",Female,1957-01-07,63,"Katherine Anne Couric is an American television and online journalist, presenter, producer, and author. She is founder of Katie Couric Media, a multimedia news and production company. She also publishes a daily newsletter, Wake Up Call. From 2013 to 2017, she was Yahoo's Global News Anchor. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971349,00.html",USA
53,Charlie Kaufman ,ARTISTS,2004,American screenwriter,"New York, NY",Male,1958-11-19,62,"Charles Stuart Kaufman is an American screenwriter, producer, director and novelist. He wrote the films Being John Malkovich, Adaptation, and Eternal Sunshine of the Spotless Mind. He made his directorial debut with Synecdoche, New York, which film critic Roger Ebert called ""the best movie of the decade"" in 2009. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971351,00.html",USA
54,Hideo Nakata ,ARTISTS,2004,Film director,"Konkō, Okayama",Unknown,1961-07-19,59,Null,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971352,00.html",Okayama
55,Aishwarya Rai ,ARTISTS,2004,Indian actress,"Mangalore, India",Female,1973-11-01,47,"Aishwarya Rai Bachchan is an Indian actress and the winner of the Miss World 1994 pageant. Through her successful acting career, she has established herself as one of the most popular and influential celebrities in India. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971356,00.html",India
56,Ferran Adrià ,ARTISTS,2004,Spanish chef,"L'Hospitalet de Llobregat, Spain",Male,1962-05-14,58,"Ferran Adrià i Acosta is a Spanish chef. He was the head chef of the elBulli restaurant in Roses on the Costa Brava and is considered one of the best chefs in the world. He has often collaborated with his brother, the renowned pastry chef Albert Adrià. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971358,00.html",Spain
57,Nicole Kidman ,ARTISTS,2004,American-Australian actress,"Honolulu, HI",Female,1967-06-20,53,"Nicole Mary Kidman AC is an Australian-American actress, singer, and producer. She has received an Academy Award, two Primetime Emmy Awards, and five Golden Globe Awards. She was ranked among the world's highest-paid actresses in 2006, 2018 and 2019. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971362,00.html",USA
58,Sean Penn ,ARTISTS,2004,American actor,"Santa Monica, CA",Male,1960-08-17,60,"Sean Justin Penn is an American actor, director, screenwriter, and producer. He has won two Academy Awards, for his roles in the mystery drama Mystic River and the biopic Milk. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971366,00.html",USA
59,Guy Laliberté ,ARTISTS,2004,Canadian businessman,"Quebec City, Canada",Male,1959-09-02,61,"Guy Laliberté, OC CQ is a Canadian billionaire businessman, and poker player. Along with Gilles Ste-Croix, he is the co-founder of Cirque du Soleil. In January 2018, Laliberté was ranked by Forbes as the 11th wealthiest Canadian. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970890_1971370,00.html",Canada
60,Nelson Mandela ,ICONS,2004,Former President of South Africa,"Mvezo, South Africa",Male,1918-07-18,0,"Nelson Rolihlahla Mandela was a South African anti-apartheid revolutionary, political leader and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971727,00.html",South Africa
61,Aung San Suu Kyi ,ICONS,2004,State Counsellor of Myanmar,"Yangon, Myanmar",Female,1945-06-19,75,"Aung San Suu Kyi is a Burmese politician, diplomat, author, and a 1991 Nobel Peace Prize laureate. The first and incumbent State Counsellor of Myanmar, she is also the leader of the National League for Democracy and played a vital role in the state's transition from military junta to partial democracy. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971756,00.html",Myanmar
62,Queen Rania of Jordan ,ICONS,2004,Queen Consort of Jordan,"Kuwait City, Kuwait",Female,1970-08-31,50,"Rania Al-Abdullah is the queen consort of Jordan. Her parents are from the city of Tulkarm in the West Bank, and she was born in Kuwait. She received her bachelor’s degree in business at the American University in Cairo. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971983,00.html",Kuwait
63,Shirin Ebadi ,ICONS,2004,Iranian lawyer,"Hamedan, Iran",Female,1947-06-21,73,"Shirin Ebadi is an Iranian political activist, lawyer, a former judge and human rights activist and founder of Defenders of Human Rights Center in Iran. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971990,00.html",Iran
64,Bono ,ICONS,2004,Irish singer-songwriter,"Dublin, Ireland",Male,1960-05-10,60,"Paul David Hewson KBE OL, known by his stage name Bono, is an Irish singer, songwriter, philanthropist, activist, venture capitalist, businessman, and actor. He is best known as the lead vocalist and primary lyricist of rock band U2. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971993,00.html",Ireland
65,Bernard Kouchner ,ICONS,2004,French Politician,"Avignon, France",Male,1939-11-01,81,Bernard Kouchner is a French politician and physician. He is the co-founder of Médecins Sans Frontières and Médecins du Monde. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971994,00.html",France
66,Bill Bellichick ,ICONS,2004,General Manager of the New England Patriots,"Nashville, TN",Male,1952-04-16,68,"William Stephen Belichick is an American professional football coach who serves as the head coach of the New England Patriots of the National Football League. He exercises extensive authority over the Patriots' football operations, effectively making him the team's general manager as well. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971997,00.html",USA
67,David Beckham ,ICONS,2004,English soccer player,"London, United Kingdom",Male,1975-05-02,45,"David Robert Joseph Beckham OBE is an English former professional footballer, the current president & co-owner of Inter Miami CF and co-owner of Salford City. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1971999,00.html",United Kingdom
68,Lance Armstrong ,ICONS,2004,American professional road racing cyclist,"Plano, TX",Male,1971-09-18,49,"Lance Edward Armstrong is an American former professional road racing cyclist. He was known for his seven consecutive Tour de France wins from 1999 to 2005, the most in the event's history. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972000,00.html",USA
69,Yao Ming ,ICONS,2004,Chinese basketball player,"Shanghai, China",Male,1980-09-12,40,Yao Ming is a Chinese basketball executive and former professional player. He played for the Shanghai Sharks of the Chinese Basketball Association and the Houston Rockets of the National Basketball Association. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972002,00.html",China
70,John Bogle ,ICONS,2004,American investor,"Montclair, NJ",Male,1929-05-08,0,"John Clifton ""Jack"" Bogle was an American investor, business magnate, and philanthropist. He was the founder and chief executive of The Vanguard Group, and is credited with creating the first index fund. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972003,00.html",USA
71,Mel Gibson ,ICONS,2004,Actor,"Peekskill, NY",Male,1956-01-03,64,"Mel Columcille Gerard Gibson AO is an American actor, film director, producer, and screenwriter. He is best known for his action hero roles, particularly his breakout role as Max Rockatansky in the ... ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972005,00.html",USA
72,Arthur Agatston ,ICONS,2004,American cardiologist,"New York, NY",Male,1905-04-30,73,"Arthur Agatston is an American cardiologist and celebrity doctor best known as the developer of the South Beach Diet, but also as the author of many published scholarly papers in the field of noninvasive cardiac diagnostics. His scientific research led to the Agatston Score for measuring coronary artery calcium. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972009,00.html",USA
73,Dalai Lama ,ICONS,2004,Null,"Taktser, China",Male,1935-07-06,85,"The 14th Dalai Lama is the current Dalai Lama, the highest spiritual leader of Tibet, and considered a living buddha. The Dalai Lamas are also leaders of the Gelug school, which is the newest school of Tibetan Buddhism and was formally headed by the Ganden Tripas. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972014,00.html",China
74,Tiger Woods ,ICONS,2004,American professional golfer,"Cypress, CA",Male,1975-12-30,44,"Eldrick Tont ""Tiger"" Woods is an American professional golfer. He is tied for first in PGA Tour wins and ranks second in men's major championships and also holds numerous golf records. Woods is widely regarded as one of the greatest golfers, and one of the most famous athletes of all time. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972024,00.html",USA
75,Paula Radcliffe ,ICONS,2004,British long-distance runner,"Davenham, United Kingdom",Female,1973-12-17,46,"Paula Jane Radcliffe, MBE is a former British long-distance runner. She is a three-time winner of the London Marathon, three-time New York Marathon champion, and 2002 Chicago Marathon winner. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972027,00.html",United Kingdom
76,Oprah Winfrey ,ICONS,2004,American host,"Kosciusko, MS",Female,1954-01-29,66,"Oprah Gail Winfrey is an American talk show host, television producer, actress, author, and philanthropist. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970910_1972029,00.html",USA
